137,137
5355,63931
137,137
5353,5353
5355,63931
1900,63573
137,137
54915,54915
5353,5353
1985,1985
5353,5353
1900,1901
1900,1901
5353,5353
1985,1985
137,137
5353,5353
5353,5353
137,137
17500,17500
17500,17500
17500,17500
137,137
10505,57317
54915,54915
137,137
1985,1985
5355,64422
1900,1901
1900,1901
137,137
5355,59260
137,137
54915,54915
5355,59260
137,137
137,137
5355,50571
8612,51489
8612,49901
5355,50571
8610,60090
8610,60090
5355,62027
5353,5353
1985,1985
1985,1985
5355,62027
10505,57320
54915,54915
5353,5353
137,137
137,137
5355,51829
5355,51829
137,137
137,137
54915,54915
137,137
5355,52930
137,137
138,138
137,137
138,138
137,137
137,137
138,138
137,137
138,138
137,137
137,137
138,138
138,138
138,138
138,138
137,137
137,137
137,137
138,138
10505,52594
54915,54915
5353,5353
137,137
137,137
137,137
137,137
137,137
137,137
1985,1985
5353,5353
137,137
1985,1985
1900,63573
54915,54915
5353,5353
5355,49346
137,137
137,137
137,137
137,137
137,137
5353,5353
137,137
137,137
5353,5353
137,137
5353,5353
137,137
137,137
10505,52597
137,137
5355,49561
5355,54852
54915,54915
5355,51735
5355,51735
137,137
137,137
5355,49561
5355,54852
137,137
5353,5353
5353,5353
5355,61288
5355,60113
137,137
137,137
5355,61288
5353,5353
5355,60113
137,137
5353,5353
54915,54915
137,137
137,137
137,137
1985,1985
137,137
137,137
1985,1985
1900,63573
137,137
5355,56183
137,137
137,137
10505,52600
54915,54915
137,137
137,137
137,137
5355,63107
5355,63107
1900,1901
1900,1901
137,137
8612,59295
8612,62473
5353,5353
137,137
5355,63132
137,137
5355,64955
5355,63132
137,137
5355,64955
137,137
54915,54915
5355,65434
137,137
5355,65434
8612,56184
8612,56184
1900,1901
1900,1901
137,137
137,137
137,137
137,137
5355,49197
5353,5353
5353,5353
137,137
1985,1985
5355,65296
1985,1985
5355,49197
54915,54915
137,137
1900,1901
1900,1901
5353,5353
137,137
5353,5353
5353,5353
5353,5353
137,137
8612,56339
8612,56339
17500,17500
17500,17500
137,137
54915,54915
5355,50557
5355,50557
5355,51977
137,137
5355,51977
10505,52606
54915,54915
53,60277
60277,53
137,137
1985,1985
1985,1985
137,137
17500,17500
17500,17500
1900,1900
5353,5353
1900,1900
1900,1900
1900,1900
1900,1900
1900,1900
54915,54915
137,137
137,137
5355,55644
5355,63860
5353,5353
5353,5353
137,137
137,137
5355,55554
5355,53961
5355,63860
5355,55554
137,137
10505,62711
54915,54915
137,137
5355,53961
137,137
5353,5353
5353,5353
8612,55395
8612,55395
137,137
1985,1985
137,137
54915,54915
137,137
137,137
1985,1985
137,137
8612,61781
8612,63601
1900,1900
1900,1900
1900,1900
1900,1900
1900,1900
137,137
10505,62714
8612,49198
137,137
54915,54915
137,137
5355,59131
5355,59131
137,137
5353,5353
5353,5353
137,137
62036,443
443,62036
443,62848
62848,443
62848,443
62848,443
443,62848
443,62848
443,62848
443,62848
443,62848
62848,443
137,137
54915,54915
1211,57949
137,137
1985,1985
137,137
10505,62717
8612,57325
8612,57325
54915,54915
1985,1985
1900,1901
137,137
5355,62217
8612,56761
8612,56761
8612,56340
8612,52011
8612,52011
137,137
1900,1900
1900,1900
1900,1900
1900,1900
1900,1900
137,137
54915,54915
5355,51560
1900,1901
1900,1901
5355,51560
137,137
137,137
5353,5353
137,137
8612,53773
8612,53773
10505,62720
54915,54915
3289,64376
5355,61839
1900,1901
137,137
1900,1901
5355,61839
1985,1985
137,137
137,137
1985,1985
137,137
5355,50860
137,137
5355,50860
5355,53352
54915,54915
137,137
137,137
137,137
137,137
5353,5353
137,137
5353,5353
10505,62723
68,67
137,137
68,67
68,67
137,137
5353,5353
137,137
137,137
5355,53489
5355,50321
1900,63573
5353,5353
5355,53489
8612,56878
137,137
137,137
5355,53487
5355,53487
5355,54607
54915,54915
5355,56154
137,137
137,137
137,137
5353,5353
5355,54607
1985,1985
1985,1985
5353,5353
5353,5353
5355,56154
5355,58818
137,137
5353,5353
137,137
137,137
5353,5353
5353,5353
5355,58818
137,137
5353,5353
137,137
137,137
137,137
1900,56159
5355,55177
5355,50681
5355,51984
54915,54915
5353,5353
5355,56928
5355,51984
5355,50681
137,137
5355,55177
137,137
5353,5353
137,137
137,137
137,137
137,137
137,137
5355,59713
5353,5353
5353,5353
5353,5353
5353,5353
5353,5353
5353,5353
137,137
5355,56928
5355,49848
137,137
137,137
137,137
5355,49848
137,137
5353,5353
137,137
5355,59713
137,137
137,137
137,137
137,137
5353,5353
54915,54915
5355,60404
137,137
137,137
137,137
5353,5353
5355,60404
8612,56762
8612,52012
1900,63573
5355,50260
5353,5353
137,137
137,137
137,137
5353,5353
5353,5353
5353,5353
137,137
5355,50260
1985,1985
137,137
5353,5353
5353,5353
137,137
137,137
137,137
1985,1985
10505,62729
17500,17500
17500,17500
5355,50908
5355,65446
5355,58795
5355,50493
54915,54915
137,137
137,137
5355,50908
5355,65446
5355,50493
137,137
5353,5353
5353,5353
53,60277
60277,53
5353,5353
137,137
137,137
5353,5353
137,137
137,137
5355,56161
5355,58795
5355,56161
5353,5353
5353,5353
5353,5353
5353,5353
137,137
5222,62851
62851,5222
5353,5353
5353,5353
137,137
5355,54687
137,137
5355,54687
1900,56159
54915,54915
137,137
137,137
5353,5353
137,137
5355,59478
1900,58472
5355,59478
5355,54381
137,137
137,137
137,137
5353,5353
1900,58472
3702,51851
137,137
1900,58472
3702,51851
137,137
5355,54381
137,137
137,137
137,137
5355,62061
5355,55115
137,137
10505,62732
137,137
1900,1901
1900,1901
137,137
137,137
5353,5353
17500,17500
17500,17500
137,137
1900,63573
137,137
1985,1985
5355,62061
5355,55115
137,137
5355,54210
5355,58418
1900,56159
1900,56159
137,137
1900,56159
137,137
137,137
137,137
5355,53946
1985,1985
5355,58418
137,137
137,137
137,137
5355,53946
137,137
138,138
138,138
138,138
138,138
138,138
138,138
138,138
137,137
138,138
54915,54915
137,137
5353,5353
138,138
138,138
137,137
137,137
137,137
138,138
1900,1901
137,137
1900,1901
1985,1985
137,137
137,137
137,137
5355,60729
5355,60780
5355,60046
5355,63553
5355,60474
5355,60739
137,137
137,137
137,137
137,137
137,137
137,137
137,137
5355,57282
137,137
